song,artist
If I Was A Cowboy,Miranda Lambert
If I Was A Cowboy,Miranda Lambert
Get Into It (Yuh),Doja Cat
Get Into It (Yuh),Doja Cat
Doja,$NOT & A$AP Rocky
Doja,$NOT & A$AP Rocky
Hate Our Love,Queen Naija & Big Sean
Hate Our Love,Queen Naija & Big Sean
Come Back As A Country Boy,Blake Shelton
Come Back As A Country Boy,Blake Shelton
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
Numb Little Bug,Em Beihold
Numb Little Bug,Em Beihold
Too Easy,Gunna & Future
Too Easy,Gunna & Future
The Motto,Tiesto & Ava Max
The Motto,Tiesto & Ava Max
Home Sweet,Russell Dickerson
Home Sweet,Russell Dickerson
Flower Shops,ERNEST Featuring Morgan Wallen
Flower Shops,ERNEST Featuring Morgan Wallen
Iffy,Chris Brown
Iffy,Chris Brown
When I'm Gone,Alesso / Katy Perry
When I'm Gone,Alesso / Katy Perry
Fair Trade,Drake Featuring Travis Scott
Fair Trade,Drake Featuring Travis Scott
Megan's Piano,Megan Thee Stallion
Megan's Piano,Megan Thee Stallion
Moth To A Flame,Swedish House Mafia & The Weeknd
Moth To A Flame,Swedish House Mafia & The Weeknd
Account,
ChartsExpand charts menu,Expand charts menu
MusicExpand music menu,Expand music menu
CultureExpand culture menu,Expand culture menu
MediaExpand media menu,Expand media menu
BusinessExpand business menu,Expand business menu
Pro ToolsExpand pro-tools menu,Expand pro-tools menu
